lottery,draw_number,draw_date,n1,n2,n3,n4,n5,n6,bonus,source,source_url,retrieved_at,content_hash
MINI_LOTO,560,2010-05-04,11,13,17,29,30,,5,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=miniloto,2026-08-21T01:53:49.549708+00:00,49dedac57e25b087de376b89cec7b604ce1a1eaddbc6e7c9f4ca377e65bdca75
MINI_LOTO,561,2010-05-11,1,5,6,16,25,,18,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=561_580&type=miniloto,2026-08-21T01:53:48.772239+00:00,7f16cdaec3c43440fe16d9e98e25121ffc5bdd097ac4360a84100407f726bb0f
MINI_LOTO,562,2010-05-18,2,7,12,15,17,,23,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=561_580&type=miniloto,2026-08-21T01:53:48.772239+00:00,7f16cdaec3c43440fe16d9e98e25121ffc5bdd097ac4360a84100407f726bb0f
MINI_LOTO,563,2010-05-25,4,5,18,19,30,,1,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=561_580&type=miniloto,2026-08-21T01:53:48.772239+00:00,7f16cdaec3c43440fe16d9e98e25121ffc5bdd097ac4360a84100407f726bb0f
MINI_LOTO,564,2010-06-01,9,17,19,22,29,,6,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=561_580&type=miniloto,2026-08-21T01:53:48.772239+00:00,7f16cdaec3c43440fe16d9e98e25121ffc5bdd097ac4360a84100407f726bb0f
MINI_LOTO,565,2010-06-08,18,19,20,28,29,,13,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=561_580&type=miniloto,2026-08-21T01:53:48.772239+00:00,7f16cdaec3c43440fe16d9e98e25121ffc5bdd097ac4360a84100407f726bb0f
MINI_LOTO,566,2010-06-15,3,8,23,28,30,,31,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=561_580&type=miniloto,2026-08-21T01:53:48.772239+00:00,7f16cdaec3c43440fe16d9e98e25121ffc5bdd097ac4360a84100407f726bb0f
MINI_LOTO,567,2010-06-22,10,12,20,24,25,,17,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=561_580&type=miniloto,2026-08-21T01:53:48.772239+00:00,7f16cdaec3c43440fe16d9e98e25121ffc5bdd097ac4360a84100407f726bb0f
MINI_LOTO,568,2010-06-29,8,12,16,24,30,,23,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=561_580&type=miniloto,2026-08-21T01:53:48.772239+00:00,7f16cdaec3c43440fe16d9e98e25121ffc5bdd097ac4360a84100407f726bb0f
MINI_LOTO,569,2010-07-06,10,17,23,26,28,,5,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=561_580&type=miniloto,2026-08-21T01:53:48.772239+00:00,7f16cdaec3c43440fe16d9e98e25121ffc5bdd097ac4360a84100407f726bb0f
MINI_LOTO,570,2010-07-13,1,2,5,6,10,,8,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=561_580&type=miniloto,2026-08-21T01:53:48.772239+00:00,7f16cdaec3c43440fe16d9e98e25121ffc5bdd097ac4360a84100407f726bb0f
MINI_LOTO,571,2010-07-20,9,22,27,28,29,,26,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=561_580&type=miniloto,2026-08-21T01:53:48.772239+00:00,7f16cdaec3c43440fe16d9e98e25121ffc5bdd097ac4360a84100407f726bb0f
